code_prefix,Related institution or source,,,,,,,,,,
01,Indiana University,,,,,,,,,,
02,University of Illinois Urbana-Campaign,,,,,,,,,,
03,University of Iowa,,,,,,,,,,
04,University of Maryland,,,,,,,,,,
05,University of Minnesota,,,,,,,,,,
06,Michigan State University,,,,,,,,,,
07,University of Michigan,,,,,,,,,,
08,Pennsylvania State University,,,,,,,,,,
09,Purdue University,,,,,,,,,,
10,University of Wisconsin-Madison,,,,,,,,,,
11,The Ohio State University,,,,,,,,,,
12,University of Chicago,,,,,,,,,,
13,University of Nebraska-Lincoln,,,,,,,,,,
14,Rutgers University,,,,,,,,,,
15,Northwestern University,,,,,,,,,,
16,University of Washington,,,,,,,,,,
17,University of Oregon,,,,,,,,,,
20 ,OpenGeoMetadata,,,,,,,,,,
999,Licensed database,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,